Wall time,Step,Value
1585099111,223281,0.03828213
1585099131,223414,0.03860718
1585099171,223714,0.037775826
1585099198,223914,0.037624475
1585099258,224347,0.037429158
1585099305,224680,0.036859456
1585099331,224880,0.036609072
1585099358,225080,0.036861937
1585099371,225180,0.035902087
1585099445,225713,0.036219519
1585099505,226146,0.035675015
1585099519,226246,0.036101613
1585099532,226346,0.035852168
1585099592,226779,0.035125226
1585099605,226879,0.035330147
1585099632,227079,0.035334922
1585099678,227412,0.035214152
1585099692,227512,0.035209198
1585099705,227612,0.034428928
1585099739,227845,0.033981893
1585099752,227945,0.034676753
1585099778,228145,0.035191644
1585099851,228678,0.033892978
1585099865,228778,0.034387901
1585099950,229411,0.033627208
1585099964,229511,0.033506919
1585099977,229611,0.033475846
1585100037,230044,0.033570435
1585100064,230244,0.033125166
1585100098,230477,0.032594357
1585100151,230877,0.032726124
1585100298,231943,0.032741431
1585100325,232143,0.032432012
1585100359,232376,0.032382574
1585100373,232476,0.032384891
1585100434,232909,0.032071464
1585100461,233109,0.031659562
1585100474,233209,0.032028053
1585100487,233309,0.032415342
1585100589,234042,0.031231089
1585100650,234475,0.030827262
1585100698,234808,0.03102183
1585100841,235841,0.03091844
1585100854,235941,0.030641381
1585100915,236374,0.03120425
1585100942,236574,0.030430825
1585100989,236907,0.030627595
1585101016,237107,0.030577967
1585101030,237207,0.030955672
1585101063,237440,0.030465184
1585101076,237540,0.030337166
1585101090,237640,0.030625535
1585101103,237740,0.030531298
1585101137,237973,0.03002649
1585101163,238173,0.030696444
1585101177,238273,0.030485692
1585101237,238706,0.030220494
1585101250,238806,0.030311581
1585101277,239006,0.030036276
1585101323,239339,0.029833211
1585101397,239872,0.030185241
1585101571,241138,0.029534491
1585101625,241538,0.029746585
1585101672,241871,0.029364785
1585101773,242604,0.029751405
1585101812,242904,0.029389611
1585101899,243537,0.029566387
1585101919,243670,0.029126339
1585101946,243870,0.029530663
1585101986,244170,0.028996758
1585102032,244503,0.029701067
1585102046,244603,0.029094411
1585102059,244703,0.029356042
1585102192,245669,0.029065257
1585102205,245769,0.029529123
1585102219,245869,0.029207909
1585102232,245969,0.029241735
1585102266,246202,0.0288998
1585102293,246402,0.028908379
1585102332,246702,0.030126363
1585102440,247468,0.028964574
1585102453,247568,0.029226445
1585102467,247668,0.029167807
1585102480,247768,0.029020129
1585102595,248601,0.028960092
1585102728,249567,0.029537162
1585102802,250100,0.029026508
1585102915,250933,0.028942857
1585102929,251033,0.028700519
1585102975,251366,0.029209509
1585103136,252532,0.028629469
1585103176,252832,0.028930718
1585103223,253165,0.029028656
1585103237,253265,0.029172137
1585103250,253365,0.029182626
1585103278,253565,0.028829793
1585103398,254431,0.028637897
1585103425,254631,0.029919287
1585103451,254831,0.029169818
